G1,G2,G3,studytime,failures,absences,Medu,Fedu,famrel,freetime,goout,nursery,internet,romantic,Dalc,Walc,student_id
17,18,17,3,0,0,3,1,3,4,3,0,1,0,2,3,POR_375
14,14,15,3,0,0,0,2,3,3,3,1,1,0,2,3,POR_376
14,14,14,3,0,0,1,1,4,5,5,1,1,0,1,2,POR_377
13,14,13,3,0,0,4,4,4,3,3,1,1,0,2,2,POR_378
17,18,17,1,0,0,3,3,4,3,5,0,1,0,3,5,POR_379
11,10,10,1,0,2,2,2,4,4,5,1,1,0,5,5,POR_380
13,12,13,3,0,0,4,4,5,4,4,1,1,0,1,3,POR_381
15,14,15,3,0,4,4,4,4,3,3,0,1,1,1,2,POR_382
11,12,11,1,0,2,3,3,4,2,5,1,1,0,2,5,POR_383
11,11,12,4,0,0,2,2,4,5,5,1,1,0,2,4,POR_384
11,10,10,1,0,0,3,2,5,3,4,0,0,1,2,2,POR_385
10,9,10,2,0,2,2,2,4,2,5,1,0,1,1,1,POR_386
15,15,15,3,0,0,2,4,4,4,3,1,1,1,1,1,POR_387
15,14,15,1,0,6,2,2,5,4,2,0,1,0,1,2,POR_388
10,11,12,2,0,8,3,3,5,3,4,1,1,0,1,1,POR_389
10,9,12,2,0,0,2,2,4,3,3,0,1,1,1,1,POR_390
14,13,14,4,0,6,2,2,4,4,4,1,0,0,1,1,POR_391
11,13,14,3,0,8,3,4,4,4,5,1,1,0,1,3,POR_392
12,13,15,2,0,0,3,2,4,3,2,1,1,1,2,3,POR_393
14,14,15,4,0,4,3,3,5,3,3,1,1,0,1,1,POR_394
14,14,16,2,0,0,3,2,4,3,3,1,1,0,2,3,POR_395
12,12,13,2,0,0,4,4,4,3,3,1,1,0,2,2,POR_396
16,16,17,2,0,6,3,4,4,3,3,1,1,1,1,3,POR_397
10,12,14,2,0,18,2,2,3,3,1,1,1,1,1,2,POR_398
11,12,14,3,0,0,2,3,4,3,3,1,1,0,1,2,POR_399
14,16,17,3,0,4,3,2,5,4,3,1,1,1,2,3,POR_400
15,14,17,3,0,4,4,3,5,3,2,1,1,1,1,2,POR_401
14,13,14,3,0,0,4,3,5,4,5,1,1,1,2,3,POR_402
11,12,13,3,0,0,4,3,4,4,3,1,1,1,1,3,POR_403
12,15,15,2,0,10,2,1,4,3,4,1,1,1,2,2,POR_404
12,16,16,2,0,4,2,1,4,3,5,1,1,0,2,4,POR_405
10,11,11,1,1,16,2,3,2,2,3,1,1,0,3,4,POR_406
10,13,13,1,1,6,3,1,4,1,2,1,1,1,1,1,POR_407
9,12,12,3,2,0,4,4,3,3,2,1,1,0,1,1,POR_408
9,11,12,2,0,11,2,2,4,4,4,0,1,0,1,3,POR_409
13,14,15,2,0,9,3,4,4,3,5,1,1,1,1,4,POR_410
13,17,17,2,0,0,2,2,4,3,4,1,1,0,1,3,POR_411
12,15,15,3,0,2,4,4,4,4,2,1,1,0,1,2,POR_412
14,17,17,2,0,0,4,2,4,2,2,1,1,0,1,1,POR_413
9,10,10,2,2,21,1,1,5,3,3,1,1,1,5,2,POR_414
11,15,15,3,0,8,1,1,3,2,2,1,1,1,1,3,POR_415
9,10,11,1,1,5,4,4,3,2,5,1,1,1,4,4,POR_416
16,18,18,2,0,10,3,2,4,4,4,1,1,0,1,2,POR_417
14,17,17,3,0,5,3,2,4,3,4,1,1,1,1,2,POR_418
13,14,14,1,0,13,2,3,3,1,3,1,1,0,4,5,POR_419
7,11,11,1,0,10,2,1,5,3,4,1,1,0,1,4,POR_420
14,17,17,2,0,10,2,2,4,1,4,1,1,0,1,3,POR_421
8,10,10,1,1,5,1,0,5,3,1,1,1,1,1,1,POR_422
10,13,13,2,0,4,3,2,3,1,2,0,1,1,1,2,POR_423
10,11,11,1,0,11,1,3,4,3,3,1,1,1,1,3,POR_424
12,12,12,2,0,0,2,2,4,4,4,1,1,0,1,1,POR_425
10,10,10,1,1,6,1,1,4,1,3,1,0,1,1,1,POR_426
10,10,11,1,0,4,3,3,5,4,4,1,1,0,2,3,POR_427
16,17,17,2,0,0,2,3,4,5,2,1,0,0,1,2,POR_428
6,8,9,1,0,0,2,1,1,3,4,1,0,0,1,1,POR_429
10,11,11,2,0,5,4,4,5,3,2,1,0,0,1,3,POR_430
10,11,11,3,0,0,1,2,4,4,3,1,1,0,1,1,POR_431
10,10,10,2,1,0,3,2,4,5,4,1,0,1,1,2,POR_432
6,6,7,1,1,0,1,1,5,4,4,0,1,0,2,2,POR_433
13,14,14,1,0,0,4,4,1,5,1,1,1,1,3,5,POR_434
10,9,11,4,0,4,2,2,1,2,1,0,0,1,1,1,POR_435
10,10,10,2,0,0,1,1,5,4,3,1,1,0,1,2,POR_436
6,7,8,1,1,4,1,1,4,4,3,1,1,1,1,2,POR_437
12,11,12,1,0,0,0,2,3,2,3,1,0,0,1,2,POR_438
10,11,12,1,0,2,2,3,5,5,5,1,1,0,1,3,POR_439
14,16,16,1,0,0,3,3,4,1,3,0,1,0,1,1,POR_440
7,0,0,2,0,0,1,1,5,4,5,1,0,1,4,5,POR_441
8,9,9,2,0,4,1,1,4,4,3,0,1,0,2,4,POR_442
12,13,14,2,0,0,4,1,5,3,4,1,1,0,1,2,POR_443
7,9,8,2,0,7,4,1,5,3,4,1,1,0,1,2,POR_444
9,10,11,2,0,4,3,4,3,4,5,0,0,0,1,2,POR_445
7,9,9,2,0,8,1,1,5,4,5,1,0,1,2,4,POR_446
11,11,11,2,0,0,3,3,5,3,3,1,1,0,1,1,POR_447
8,10,9,1,0,8,2,1,5,5,5,1,0,1,5,5,POR_448
16,16,17,3,0,6,4,4,4,2,2,1,1,1,1,1,POR_449
11,13,13,1,0,3,1,2,5,1,2,1,0,0,1,1,POR_450
15,15,15,2,0,2,2,3,4,5,4,1,1,0,1,2,POR_451
10,11,11,2,0,0,1,2,4,3,3,1,0,0,1,1,POR_452
9,10,11,2,0,4,2,2,4,4,5,1,1,0,1,1,POR_453
10,8,8,3,1,0,1,2,1,3,2,1,0,0,1,2,POR_454
9,8,8,3,1,3,1,2,1,3,2,1,0,0,1,2,POR_455
9,10,9,2,0,0,2,1,4,4,2,0,1,0,3,3,POR_456
13,14,15,2,0,0,1,1,5,4,3,0,0,1,2,1,POR_457
10,11,11,1,0,4,1,2,5,5,5,1,1,0,5,5,POR_458
13,10,13,4,0,0,1,1,4,3,2,0,1,0,1,1,POR_459
10,9,10,3,0,2,1,1,4,4,3,1,0,0,1,1,POR_460
11,10,11,2,0,1,1,1,4,3,3,1,1,0,1,1,POR_461
13,12,14,1,0,0,1,1,4,2,2,1,1,1,4,3,POR_462
13,14,14,2,0,0,1,1,4,2,1,1,0,0,1,2,POR_463
14,11,12,3,0,2,2,2,4,4,3,1,0,0,2,2,POR_464
11,11,11,1,0,6,1,1,3,4,4,1,0,0,3,4,POR_465
9,8,8,2,1,9,1,2,3,4,4,1,1,1,2,3,POR_466
10,9,11,1,0,0,3,1,3,2,3,1,0,0,1,3,POR_467
14,13,14,2,0,1,2,2,5,3,4,1,1,0,1,1,POR_468
13,12,13,1,0,1,2,2,4,3,3,1,0,0,1,2,POR_469
13,12,13,2,0,0,4,4,4,3,1,1,0,1,1,1,POR_470
13,12,12,2,0,4,3,3,4,5,4,1,1,1,1,1,POR_471
12,11,12,2,1,2,2,2,4,4,4,0,0,0,2,3,POR_472
14,14,16,1,0,0,2,2,4,3,2,1,0,1,1,1,POR_473
10,8,10,1,0,4,2,1,2,4,3,1,1,0,2,3,POR_474
10,11,11,1,0,2,1,3,4,2,4,1,1,0,3,5,POR_475
12,13,14,3,0,0,2,2,5,3,2,1,0,0,1,1,POR_476
10,8,8,1,0,2,2,1,5,4,3,1,1,1,1,1,POR_477
12,10,11,1,0,11,3,3,4,3,3,0,1,0,2,4,POR_478
7,7,8,2,3,0,1,1,3,4,3,1,0,0,1,1,POR_479
9,9,10,1,0,4,2,2,4,5,3,1,0,0,1,1,POR_480
9,9,10,1,1,0,2,3,4,4,4,1,1,1,1,1,POR_481
9,10,11,1,0,2,2,1,5,5,3,1,0,1,1,1,POR_482
9,10,9,1,0,0,1,1,5,2,1,1,0,1,1,3,POR_483
9,10,11,2,0,1,2,2,3,4,5,1,1,0,1,2,POR_484
7,7,8,1,0,6,2,2,4,3,4,1,0,0,1,2,POR_485
11,10,11,2,0,0,2,2,4,3,5,1,1,0,1,2,POR_486
9,10,10,1,1,1,2,2,4,4,3,0,1,0,1,4,POR_487
7,9,10,3,2,6,3,2,3,3,2,0,0,1,1,1,POR_488
7,9,9,3,1,6,1,1,5,3,1,1,0,1,1,1,POR_489
8,9,10,1,1,0,1,1,4,4,3,1,1,0,3,4,POR_490
9,11,10,1,1,4,1,1,3,2,3,0,1,1,1,1,POR_491
7,8,9,2,1,12,1,1,1,1,4,1,1,1,4,1,POR_492
8,10,10,2,0,2,2,2,3,3,2,0,0,1,1,1,POR_493
9,9,10,1,0,5,0,1,2,4,4,0,0,0,3,5,POR_494
8,9,9,2,0,0,1,2,4,4,5,1,1,0,1,3,POR_495
14,13,13,1,0,0,3,3,4,5,4,1,1,1,1,1,POR_496
14,14,14,1,0,2,1,1,4,4,4,1,1,1,2,2,POR_497
10,11,10,4,1,0,3,3,5,4,5,1,0,0,3,4,POR_498
14,13,14,2,0,0,2,1,5,3,3,1,1,0,1,1,POR_499
17,16,16,1,0,0,2,2,4,2,5,1,0,1,1,2,POR_500
6,7,7,1,1,12,1,2,5,3,5,1,1,1,5,5,POR_501
14,12,13,1,0,8,4,3,4,2,5,1,1,0,1,5,POR_502
10,8,9,4,1,2,2,2,1,3,5,1,0,0,3,5,POR_503
14,14,14,4,0,0,1,1,2,2,1,1,1,0,1,1,POR_504
12,13,13,3,0,0,2,2,5,4,5,1,1,1,1,1,POR_505
11,11,11,1,0,0,1,1,4,4,5,0,1,1,1,2,POR_506
11,9,10,2,1,8,3,3,3,3,4,1,1,1,2,4,POR_507
11,11,10,3,0,0,1,1,4,3,3,1,0,1,1,1,POR_508
10,9,9,1,1,0,2,2,4,4,5,0,1,0,1,2,POR_509
16,17,18,2,0,0,1,1,5,3,2,1,0,0,1,1,POR_510
15,17,17,2,0,0,2,2,5,3,2,1,0,0,1,1,POR_511
11,9,10,2,0,1,1,0,4,4,5,1,1,1,1,1,POR_512
7,7,7,2,1,9,1,1,4,3,2,1,1,1,1,1,POR_513
8,6,8,1,0,0,3,1,3,1,3,1,1,0,1,3,POR_514
7,6,7,1,0,2,3,2,3,1,3,1,1,0,1,4,POR_515
9,8,10,2,0,8,1,1,2,3,5,1,0,0,1,4,POR_516
14,16,16,2,0,0,4,4,4,3,3,0,1,1,2,3,POR_517
14,14,15,1,0,0,1,2,5,4,5,1,1,0,1,4,POR_518
8,5,8,2,1,8,2,4,2,3,2,1,1,0,1,3,POR_519
8,7,0,2,0,0,2,1,5,2,1,1,1,0,1,1,POR_520
6,8,8,2,0,6,1,1,4,3,2,1,1,0,1,3,POR_521
8,10,10,2,0,0,2,3,3,3,3,1,1,0,1,1,POR_522
8,8,8,2,0,4,4,4,4,3,4,1,1,1,1,2,POR_523
5,6,6,4,0,2,4,4,5,5,5,1,1,1,5,5,POR_524
7,9,8,2,0,2,3,4,4,2,1,0,0,0,1,1,POR_525
15,14,16,3,0,0,4,4,4,4,3,1,1,0,1,2,POR_526
13,14,14,1,0,1,4,1,4,2,3,1,1,1,1,2,POR_527
10,9,10,3,0,0,2,2,5,1,3,1,0,0,2,2,POR_528
9,9,9,1,0,5,2,2,5,1,3,1,1,0,1,2,POR_529
11,11,11,1,0,1,4,4,5,1,3,1,0,0,1,2,POR_530
7,10,9,1,0,8,3,3,4,1,4,1,1,0,5,5,POR_531
10,10,10,2,0,0,1,1,5,1,3,1,1,1,3,3,POR_532
9,7,8,2,0,2,2,1,4,2,2,0,1,1,1,4,POR_533
14,15,16,2,0,0,2,1,3,2,2,1,1,1,1,1,POR_534
11,12,12,1,0,0,4,4,4,1,2,1,1,0,2,5,POR_535
9,11,10,2,0,11,1,2,5,5,5,1,0,0,1,3,POR_536
13,14,14,4,0,8,2,2,5,4,5,1,0,0,2,3,POR_537
12,13,12,1,0,11,2,1,4,3,3,1,1,0,1,2,POR_538
11,11,11,3,0,2,2,2,4,3,3,0,0,1,2,2,POR_539
9,10,10,2,0,8,4,1,1,2,4,1,1,0,2,2,POR_540
9,11,11,1,0,5,3,2,4,3,3,1,0,1,2,2,POR_541
11,9,11,2,0,0,2,2,5,1,3,1,0,0,1,1,POR_542
10,11,12,3,0,1,4,4,5,3,5,1,1,1,1,4,POR_543
9,9,8,1,3,2,4,4,3,3,3,1,1,1,1,3,POR_544
12,11,12,1,0,2,1,3,5,1,2,1,0,1,3,3,POR_545
8,9,8,2,1,8,3,4,5,4,4,0,1,1,3,4,POR_546
13,15,16,2,0,0,4,4,5,2,5,1,1,0,1,1,POR_547
10,11,11,1,0,0,4,1,4,1,2,1,1,0,2,1,POR_548
11,10,11,2,0,2,1,1,4,5,5,1,1,1,1,2,POR_549
17,18,18,2,0,0,4,2,4,3,3,0,1,0,2,3,POR_550
12,13,13,2,0,0,2,2,4,1,2,0,1,1,2,2,POR_551
13,14,13,2,0,0,3,2,4,1,2,1,1,0,2,2,POR_552
9,9,10,2,2,2,1,1,4,4,3,1,1,0,3,4,POR_553
11,11,12,1,0,4,1,0,4,1,2,1,0,1,1,1,POR_554
10,11,10,1,0,3,1,1,3,5,5,1,1,1,2,2,POR_555
13,14,13,3,0,5,1,2,4,3,4,0,1,1,1,1,POR_556
9,10,11,1,0,4,1,2,4,4,4,1,0,0,2,4,POR_557
7,9,10,2,3,2,3,1,5,4,4,0,1,1,1,1,POR_558
8,13,10,1,0,0,2,2,5,5,5,1,0,1,3,5,POR_559
12,12,13,1,1,0,1,0,4,3,2,1,0,0,1,1,POR_560
10,9,10,1,0,0,1,1,4,5,5,0,1,1,1,3,POR_561
10,9,10,2,0,6,1,1,4,3,3,1,0,0,1,4,POR_562
11,13,12,2,0,0,2,2,5,4,3,1,0,1,1,1,POR_563
7,0,0,1,1,0,2,2,1,2,1,1,0,1,2,3,POR_564
11,9,10,1,0,2,3,2,4,5,5,1,1,0,2,3,POR_565
10,10,9,1,0,0,1,1,4,5,5,1,1,0,2,4,POR_566
9,7,9,1,1,2,1,1,5,3,3,1,1,1,2,3,POR_567
4,0,0,1,1,0,3,2,2,3,1,1,1,0,2,2,POR_568
6,11,9,1,3,4,3,2,3,2,1,1,0,0,1,1,POR_569
4,8,8,2,2,9,3,3,4,4,5,1,1,0,1,3,POR_570
7,8,8,1,0,6,2,2,5,4,3,1,1,1,2,4,POR_571
8,9,9,1,3,4,2,1,4,4,3,0,1,1,1,3,POR_572
5,5,7,2,2,8,3,2,2,5,5,1,0,1,1,1,POR_573
7,9,10,1,0,9,1,1,4,3,2,1,0,0,1,2,POR_574
8,11,10,1,1,12,1,1,4,4,3,1,1,1,2,4,POR_575
10,11,10,1,0,8,4,3,5,4,4,1,1,0,3,4,POR_576
9,10,11,1,0,8,3,2,2,5,5,0,1,0,5,5,POR_577
10,9,11,2,1,8,1,1,5,4,4,1,1,0,3,3,POR_578
8,9,10,2,1,4,3,3,4,5,4,1,1,0,2,3,POR_579
9,10,9,1,0,0,1,3,4,3,3,1,1,1,2,3,POR_580
8,9,10,1,1,4,1,1,4,4,4,1,1,0,3,3,POR_581
6,8,8,2,2,2,1,2,4,3,3,1,0,0,1,1,POR_582
6,8,7,1,0,0,1,1,1,4,4,1,0,0,1,1,POR_583
8,6,0,1,1,0,2,2,5,5,5,1,1,1,1,1,POR_584
10,11,11,1,0,0,0,0,4,4,3,1,1,0,1,1,POR_585
8,7,8,3,0,5,3,1,4,2,3,1,0,0,2,2,POR_586
8,8,0,2,0,0,4,2,5,5,5,1,1,0,1,3,POR_587
7,6,8,2,1,3,2,2,2,3,3,1,1,0,1,2,POR_588
8,10,9,1,0,0,4,1,3,2,2,1,0,1,1,1,POR_589
7,10,10,1,0,0,1,2,5,5,1,1,1,0,1,1,POR_590
7,8,7,2,2,3,1,1,3,4,4,1,0,1,2,2,POR_591
12,13,14,2,0,2,2,2,4,3,5,0,1,0,1,1,POR_592
11,12,13,1,0,0,3,3,4,4,3,1,1,0,1,1,POR_593
12,13,14,2,0,0,1,2,4,4,3,1,1,0,1,2,POR_594
18,18,18,2,0,0,4,4,4,3,5,0,1,0,1,2,POR_595
17,17,17,1,0,3,4,4,5,4,5,1,1,0,1,1,POR_596
17,18,18,2,0,0,4,2,4,3,3,1,1,0,1,2,POR_597
9,0,0,2,1,0,2,2,4,3,3,1,0,1,1,1,POR_598
10,11,11,1,0,8,1,2,4,1,4,0,0,0,5,5,POR_599
12,13,14,1,0,5,4,4,2,5,5,1,1,1,1,1,POR_600
12,13,14,1,0,4,1,1,4,2,3,0,0,0,3,4,POR_601
8,8,10,2,0,4,2,2,1,3,1,0,1,1,1,1,POR_602
11,12,13,3,0,0,2,2,5,4,5,1,1,1,1,4,POR_603
5,0,0,2,0,0,4,2,5,3,1,1,1,1,1,1,POR_604
9,10,10,2,1,2,1,1,4,4,2,1,0,0,1,2,POR_605
5,0,0,1,1,0,1,1,5,5,5,1,0,0,2,3,POR_606
18,18,18,4,0,0,4,2,4,2,3,1,1,1,3,1,POR_607
11,11,12,2,0,5,2,1,5,3,3,1,1,1,1,2,POR_608
8,10,11,2,0,2,1,1,5,2,3,1,0,1,1,2,POR_609
11,11,12,2,0,0,1,2,4,1,1,1,0,0,1,1,POR_610
8,0,0,2,3,0,1,1,3,5,4,1,0,1,1,4,POR_611
14,14,15,3,0,5,2,2,4,2,1,1,1,1,1,1,POR_612
10,11,11,2,1,4,4,3,4,5,5,0,1,1,1,3,POR_613
10,10,10,2,0,0,3,3,5,3,4,1,0,1,1,1,POR_614
12,12,12,2,0,2,4,4,4,3,3,1,1,0,1,2,POR_615
15,14,15,2,0,0,3,2,1,2,3,1,0,1,1,2,POR_616
14,13,14,1,0,2,1,1,3,3,2,0,1,1,1,2,POR_617
19,17,18,3,0,0,1,1,5,3,2,1,1,0,1,1,POR_618
16,15,15,2,0,0,1,2,4,3,4,1,0,1,1,4,POR_619
13,12,13,2,0,6,3,3,4,3,2,1,1,1,1,3,POR_620
15,14,15,2,0,4,4,4,2,3,4,1,1,1,1,1,POR_621
13,13,13,2,0,0,1,2,3,2,2,0,0,0,1,2,POR_622
8,10,9,2,0,0,1,3,3,3,4,1,0,0,2,4,POR_623
15,16,16,3,0,0,4,4,4,2,2,1,1,1,2,2,POR_624
8,8,9,1,1,0,1,1,5,2,1,1,1,1,1,2,POR_625
10,10,10,1,0,0,2,3,5,2,3,1,1,1,1,2,POR_626
7,5,0,2,0,0,4,4,3,2,2,0,1,1,4,2,POR_627
9,10,10,1,0,3,1,2,4,3,3,1,1,1,2,3,POR_628
10,11,12,3,0,8,2,2,3,4,3,1,0,1,1,1,POR_629
7,8,9,1,0,4,1,2,3,5,5,1,1,0,1,3,POR_630
15,17,17,3,0,0,4,4,5,4,4,1,1,0,1,1,POR_631
10,11,12,3,0,4,1,1,4,3,2,1,1,0,1,2,POR_632
7,8,9,2,1,4,1,1,4,3,3,1,1,1,1,1,POR_633
13,14,14,2,0,1,4,4,5,4,3,1,1,0,3,4,POR_634
16,16,16,2,0,1,3,3,4,1,3,1,1,1,1,2,POR_635
8,9,9,2,0,10,3,1,4,5,4,0,1,0,2,3,POR_636
17,18,19,2,0,4,4,4,3,2,4,0,1,0,1,4,POR_637
7,7,0,1,0,0,2,1,4,4,3,0,1,1,1,3,POR_638
14,15,16,2,0,4,2,3,4,4,3,1,1,0,1,1,POR_639
5,8,0,1,1,0,1,1,4,3,2,1,0,0,1,3,POR_640
7,7,0,1,1,0,4,2,5,4,3,1,0,0,4,3,POR_641
14,17,15,3,0,0,2,2,5,3,3,1,0,0,1,3,POR_642
6,9,11,2,0,0,4,3,5,5,4,1,1,0,1,1,POR_643
7,9,10,1,0,4,4,4,4,4,3,1,1,1,2,2,POR_644
10,11,10,3,1,4,2,3,5,4,2,0,1,0,1,2,POR_645
15,15,16,2,0,4,3,1,4,3,4,1,1,0,1,1,POR_646
11,12,9,2,0,6,1,1,1,1,1,1,0,0,1,1,POR_647
10,10,10,1,0,6,3,1,2,4,5,0,1,0,3,4,POR_648
10,11,11,1,0,4,3,2,4,4,1,0,1,0,3,4,POR_649
